predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
21088.0,19168.0,21750,23187
17024.0,18640.0,23500,29900
15632.0,16368.0,15820,24500
15424.0,16144.0,17890,18240
13104.0,12816.0,12500,14450
13120.0,13936.0,14350,14165
12832.0,12736.0,10500,11250
11248.0,10784.0,12800,15700
11056.0,12080.0,10500,12500
14608.0,15120.0,10500,10500
11376.0,11296.0,11250,11250
11072.0,10992.0,12495,12495
13120.0,13792.0,13000,14000
10768.0,9984.0,11000,12000
11456.0,10864.0,11500,11500
11408.0,11632.0,9250,9250
12704.0,11968.0,12100,12650
11552.0,12128.0,11200,13000
12896.0,11872.0,11300,11300
10512.0,11072.0,10800,12500
11648.0,12032.0,12000,14000
11152.0,9456.0,10500,10500
10304.0,10160.0,9500,11500
14160.0,14304.0,11400,13500
8480.0,7440.0,9495,9495
10480.0,10368.0,10250,10500
