predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
17957.34693877551,20126.23469387755,21770,19888
16970.714285714286,20106.448979591838,23500,29900
14515.918367346938,15984.336734693878,15200,14800
14212.755102040815,14532.602040816326,14140,14420
14666.734693877552,14866.42857142857,14200,14200
13906.887755102041,14332.877551020409,12950,14875
13492.581632653062,13977.112244897959,12500,14450
13633.224489795919,13680.908163265307,10500,10500
11827.061224489797,12281.0,11250,11250
10894.438775510203,11571.275510204081,10800,10800
12606.704081632653,12990.591836734693,12710,12710
10811.030612244898,11262.030612244898,12000,12500
10810.816326530612,11128.979591836734,11000,13000
11332.755102040815,12052.755102040815,10500,10500
10756.632653061224,11339.84693877551,10380,10930
11311.42857142857,11808.112244897959,13000,12750
11114.336734693878,11536.224489795919,10467,11133
12346.234693877552,12878.969387755102,13500,13500
11075.979591836734,11778.918367346938,11250,12000
11212.959183673469,11566.275510204081,10000,6000
11149.897959183674,11480.102040816326,9250,9250
11493.84693877551,12061.102040816326,11200,13000
10990.0,11262.34693877551,11300,11300
10354.642857142857,10803.316326530612,10800,12500
11982.163265306122,12377.122448979591,12000,14000
10787.040816326531,10981.42857142857,10500,10500
