predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19567.354,20926.195,21750,23187
19600.31,20966.998,17040,15440
14587.684,15588.826,14300,15000
14867.47,15893.776,15200,14800
14982.737,16017.359,14660,15160
14593.101,15601.981,14140,14420
14738.759,15754.517,17890,18240
14557.337,15558.015,14200,14200
15260.486,16313.805,13000,13000
14126.376,15095.33,14350,14165
11409.377,12128.708,12163,12117
11460.238,12177.021,11870,12150
12616.061,13428.485,10500,11250
11426.323,12151.875,12400,12580
13002.103,13860.315,18630,16500
10884.223,11556.144,11450,11950
10486.9375,11131.025,10700,11000
10845.871,11505.857,10900,11440
11329.286,12025.641,13000,12750
10567.628,11203.596,10467,11133
11242.349,11938.072,11200,13000
10055.417,10641.921,11000,11000
11073.343,11732.217,10500,10500
11372.09,12075.864,12660,12830
11432.845,12131.224,11400,13500
11749.891,12429.198,9495,9495
