predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
17418.396,18411.37,21770,19888
19020.666,20103.53,17040,15440
13939.737,14733.882,15200,14800
13404.883,14168.452,14140,14420
13153.89,13902.755,17890,18240
12571.883,13287.305,12950,14875
14475.738,15300.503,15600,17040
14075.519,14876.933,14450,14450
11996.325,12672.174,10500,12500
11710.686,12369.394,12000,12500
10902.04,11513.521,12000,12500
11489.043,12134.792,11450,11950
11460.843,12106.328,10000,11500
11361.855,12000.611,10750,10950
11506.027,12152.552,11000,12000
10576.498,11169.42,11120,11400
11314.213,11952.652,13500,13500
9537.597,10072.038,10000,6000
9461.052,9992.579,9250,9250
11424.815,12065.683,11200,13000
11636.026,12286.655,11000,11000
12163.576,12844.511,10750,11250
10764.191,11367.594,11000,9500
11399.212,12037.146,10500,10500
10803.878,11410.866,12660,12830
9813.602,10364.312,9250,9250
