predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13301.605235294184,13687.115188213533,14900,18000
13714.92822641162,14117.412566425768,13500,14000
13973.474425088447,14362.00810895897,14500,14500
13254.288544297277,13615.958233557403,13200,13900
13284.012294884027,13644.517961428404,13000,13000
13463.837087248845,13852.156098598345,14000,14000
13083.924254082965,13434.413066327572,12500,14450
12883.122521405927,13294.8149378078,14000,13500
12767.40001311592,13170.896239773685,10766,10689
11564.941881269297,11998.94364198957,10800,10800
12224.548479333684,12659.348467486972,11150,11500
11239.46923570831,11669.575110905203,12500,13000
11413.363561111317,11843.692147526916,10250,10250
12819.072567056182,13198.7265271138,13000,14000
12026.115633969504,12443.092410817255,11750,12200
13218.163381520484,13537.247374259727,15950,17250
11798.169685741232,12202.169150732529,10000,11500
11361.397815812563,11779.877315449916,11120,11400
11490.970869877894,11901.718192524228,10467,11133
12154.27361699061,12544.956505752107,13500,13500
11729.133071532324,12123.655715903064,11250,12000
10696.20730604048,11088.722778376901,10500,10500
12221.546237433256,12559.611259838326,12000,14000
11847.774595985038,12243.981268853468,12660,12830
10929.82568043932,11330.467292280324,11250,11250
11206.652410905483,11608.042163553875,10700,11700
