predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13799.614,14637.0205,14900,18000
13537.6,14359.056,13500,14000
14626.455,15513.957,14500,14500
13234.101,14036.803,13200,13900
13680.9375,14510.945,13000,13000
12804.106,13580.937,14000,14000
12367.561,13117.399,12500,14450
11682.52,12390.945,14000,13500
10604.787,11246.763,10766,10689
10858.311,11515.868,10800,10800
10348.66,10975.399,11150,11500
11619.988,12323.158,12500,13000
10382.77,11011.168,10250,10250
11257.197,11938.892,13000,14000
11071.619,11742.113,11750,12200
13531.065,14351.648,15950,17250
10748.661,11399.475,10000,11500
9500.996,10075.637,11120,11400
10466.688,11099.988,10467,11133
10382.765,11011.35,13500,13500
11038.028,11706.04,11250,12000
10879.776,11537.226,10500,10500
9800.839,10393.717,12000,14000
9602.652,10183.556,12660,12830
9468.66,10041.195,11250,11250
10003.876,10609.345,10700,11700
