predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19885.1,21009.56,21750,23187
14230.0,14560.95,14200,14200
13746.01,14085.74,14000,14000
13977.83,14371.62,14000,13500
11047.31,11620.54,10500,12500
11232.65,11690.9,11150,12000
12094.67,12454.23,11500,11500
11184.45,11615.5,10800,10800
11149.07,11698.08,12000,12500
11341.59,11819.21,11500,12700
11342.85,11862.25,11450,11950
10315.25,9906.55,10000,11000
13298.43,14484.22,17160,14140
11128.52,11638.73,11120,11400
11165.83,11721.92,13000,12750
11088.07,11730.33,11795,12000
10702.91,11438.34,10100,10300
10853.5,10586.8,10500,10500
11044.67,11583.83,11000,9500
11251.96,12176.79,10500,10500
10782.48,11791.02,10000,10000
10820.63,11371.12,11250,11250
11867.15,12525.35,11400,13500
11082.6,11601.25,10700,11700
10427.87,10887.93,10250,10500
11931.75,11416.4,9250,9250
