predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15066.02951004236,15688.399254642902,23500,29900
14785.84777882149,15305.617335375442,14500,14500
13008.519662067732,13474.692151571377,12950,14875
13294.487117996174,13808.310223742084,13000,13000
12937.303385952802,13396.000139788477,14250,13850
12061.66511961929,12460.352711147048,12800,15700
12194.292578913783,12618.11756851489,10650,10995
11969.916665589486,12342.325789918477,10500,12500
12612.116066657707,13069.761197320575,10500,10500
12441.161291385206,12867.168280889493,11500,11500
12315.145995208584,12698.939126034335,11150,11500
12131.300168419955,12513.591714619739,11500,12700
11502.761056364809,11860.484383952638,10250,10250
11229.359365807875,11599.004073703203,12250,13250
11787.098188451384,12200.140844503572,10000,10000
11382.270716936255,11740.919933955696,11000,13000
11868.470470353284,12250.671682983335,10500,10500
11656.395480848229,12026.047948587408,10750,10950
11345.461881596262,11743.783820313376,10000,11000
11707.443254978538,12101.510487689482,10380,10930
11471.997179386695,11834.217461875991,11120,11400
11826.012830653168,12220.663837558692,11300,12500
11755.217397731834,12169.5613091499,8350,9600
11417.145942765757,11780.78593979711,11300,11300
11563.41834151203,11965.064637538308,10800,12500
11126.121604928565,11484.649897589536,9500,10600
