predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15426.530612244898,17250.816326530614,14940,14200
19614.48979591837,23511.408163265307,15660,17250
14310.591836734693,15337.92857142857,13500,14000
14322.34693877551,15688.551020408164,15200,14800
14267.755102040815,15062.275510204081,14660,15160
13196.326530612245,13876.326530612245,13800,15050
13952.755102040815,14380.969387755102,13300,13300
11864.479591836734,12468.632653061224,10766,10689
11441.57142857143,11872.969387755102,12800,15700
11075.408163265307,11604.795918367347,10500,12500
13139.081632653062,13583.92857142857,12890,12890
14045.612244897959,13789.387755102041,10500,10500
11310.204081632653,12088.418367346938,10800,10800
11551.408163265307,11847.265306122448,11500,12700
11171.42857142857,11806.479591836734,10250,10250
11230.765306122448,11670.663265306122,12000,12500
11753.540816326531,12191.102040816326,11750,12200
11468.142857142857,11777.775510204081,11450,11950
14003.80612244898,14966.397959183674,15950,17250
11604.081632653062,12209.489795918367,10850,11700
10843.775510204081,11406.836734693878,17160,14140
10765.408163265307,11300.30612244898,11120,11400
11174.642857142857,11432.448979591836,10467,11133
10877.65306122449,11406.479591836734,12100,12650
9921.275510204081,8988.622448979591,10500,10500
9922.19387755102,9446.989795918367,10750,11250
