predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19400.6,21579.4,21770,19888
14859.55,16533.77,14900,18000
14560.9,15609.55,15500,15500
14538.63,15965.12,15200,14800
11171.53,11374.97,8500,10000
14325.15,14543.2,13200,13900
14392.93,14522.72,14140,14420
14299.23,14723.62,14500,14500
13904.73,14117.67,13850,16200
15628.3,16513.2,15600,17040
14779.1,15121.05,14450,14450
11104.17,11394.93,12800,15700
11713.75,12104.8,11500,11500
10573.49,10944.21,12000,12500
11344.7,11627.2,12000,12500
13556.75,14179.7,13000,14000
13200.0,13411.4,12300,12300
15554.51,16611.24,15950,17250
11041.85,11235.7,11000,13000
11362.7,11753.05,11000,12000
10547.31,11249.74,10000,11000
11155.67,11729.48,11300,12500
11863.05,12415.9,11200,13000
10163.46,10824.89,11000,11000
11795.37,11871.88,11300,11300
11210.53,11540.12,10500,10500
