predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14560.6,16138.43,16400,16400
15239.8,17456.08,14940,14200
14822.2,15221.15,14500,14500
14180.6,14427.55,14140,14420
14087.9,14381.1,14200,14200
14199.8,14657.35,13300,13300
13855.4,14080.45,13280,13430
15096.4,16064.12,14450,14450
11915.9,12981.55,12163,12117
12096.85,12549.1,12500,12500
12628.65,12806.9,16880,16880
11955.85,12758.15,13500,13500
11724.55,12756.45,10766,10689
11495.55,12597.3,10650,10995
11676.05,12331.15,12400,12580
11857.7,12640.9,12710,12710
13270.75,14196.22,13000,14000
12734.62,12767.58,12250,13250
10573.18,11279.62,10000,11500
11353.75,12271.2,10500,10500
11910.94,12756.74,10900,11440
13102.8,13238.6,13500,14500
10323.92,10761.88,10000,6000
11127.17,11887.6,9250,9250
10781.91,11079.49,12100,12650
11645.5,12145.25,11400,13500
