predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15256.047966028647,16057.769916797824,15820,24500
14041.042394092306,14271.74487728777,13500,14000
14886.92519714882,15984.546557258866,17890,18240
14246.062608076078,14456.743175422314,14500,14500
13359.731407075149,14107.88459849621,12500,14450
16001.84741150553,17552.78910776576,14450,14450
10510.886758476814,10904.60428632016,12163,12117
11969.036063844158,13331.861009631566,11275,11900
12671.202568583589,13528.347597505019,13500,13500
10828.354859307039,10630.262964449656,12495,12495
9510.274910951131,9898.197358068597,11500,12700
11999.858876066703,13688.834524984995,12710,12710
10745.948104230658,11597.049959351256,10250,10250
10495.060274079546,11022.839080916221,10700,11000
11794.889115109137,12167.435025415747,10850,11700
11259.079787354432,11710.640369454382,11000,12000
10324.00105372188,11737.914602304587,10000,11000
10179.80346744978,11331.164697779037,10000,6000
10736.232857433479,11829.178285999653,9250,9250
10036.223674545938,11034.33005281023,10500,10500
9906.92006152897,10490.357597256245,10750,11250
11264.284267235946,12172.61817290758,11000,9500
10812.954814025989,10404.12650717399,10500,10500
10270.366165355197,10840.778229437543,10000,10000
9047.453922612958,9844.067430926141,9495,9495
10787.977519063554,11164.936728964078,10250,10500
