predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14615.1,15139.68,15820,24500
14098.8,14760.95,13500,14000
14535.6,14723.65,17890,18240
14108.26,14706.44,14500,14500
13532.42,14022.49,12500,14450
14570.3,14699.71,14450,14450
12025.74,12547.76,12163,12117
12120.0,12579.35,11275,11900
12180.32,12849.38,13500,13500
11277.33,11774.92,12495,12495
11143.77,11869.73,11500,12700
12258.02,13052.13,12710,12710
11148.27,11844.88,10250,10250
10792.5,11326.2,10700,11000
11452.91,12123.04,10850,11700
11774.47,12626.93,11000,12000
10669.41,11093.04,10000,11000
10910.2,11243.77,10000,6000
10969.1,11197.4,9250,9250
10797.76,11169.94,10500,10500
10989.87,11371.13,10750,11250
11062.84,11562.41,11000,9500
11611.8,12719.8,10500,10500
10614.78,11583.72,10000,10000
10633.64,11285.86,9495,9495
10599.47,11169.53,10250,10500
