predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
21195.45070949218,21966.930787489244,21750,23187
17217.82633166235,19447.52624039005,17040,15440
15220.131620244247,17397.35809845244,14300,15000
15594.322600150732,16121.727759664633,15200,14800
14869.121391509556,15057.390052359502,14660,15160
15178.025614564182,15189.524099423365,14140,14420
15685.18461615871,18301.6849661261,17890,18240
14370.556021459644,16502.04414650482,14200,14200
15831.56120842899,16349.810058182675,13000,13000
13438.548073868164,14079.355781508608,14350,14165
11989.561132118011,11225.627349994387,12163,12117
12121.474925765298,12408.434552325674,11870,12150
12726.12220989519,14362.373150085104,10500,11250
11659.859984919458,10824.89974131632,12400,12580
14510.016435917385,16093.61775900637,18630,16500
10456.893545851037,10576.831933885811,11450,11950
10619.386406215459,11424.51624487201,10700,11000
11305.151196050632,10440.173029326612,10900,11440
11291.125144115114,11643.920842536365,13000,12750
10816.211838488225,10871.06020731923,10467,11133
11525.794337432588,12150.043158488881,11200,13000
10486.194816897138,10165.732591133452,11000,11000
10789.997371898673,10599.96564892508,10500,10500
11633.82399015274,11666.91946433933,12660,12830
14255.012664288828,16773.630525183,11400,13500
8349.186680962142,8701.581376533872,9495,9495
