predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13596.984942631683,14082.292182216017,14940,14200
15449.491026931748,15974.557153542046,15660,17250
13710.046026006978,14121.83693235864,13500,14000
13683.676863225639,14104.997060931968,15200,14800
13572.08424419153,14005.291433073144,14660,15160
12464.846197431078,12887.706537598304,13800,15050
13027.661379375577,13482.212735996402,13300,13300
12704.594154187327,13194.401675975563,10766,10689
11956.135267100595,12354.987251206876,12800,15700
11877.239587831133,12235.105983482841,10500,12500
12835.736907749806,13277.627996577487,12890,12890
12552.351482336078,12964.096476934164,10500,10500
11543.598197087644,11887.294815515876,10800,10800
12015.401600614967,12410.023456962374,11500,12700
11394.843966402866,11740.089798601395,10250,10250
11372.629921782114,11732.526294411602,12000,12500
11984.355373319937,12396.8683356955,11750,12200
11895.457973944056,12294.374775744693,11450,11950
13167.516305806836,13712.572851175757,15950,17250
11726.137478031342,12152.331633636039,10850,11700
12171.82809489128,12732.330711832217,17160,14140
11351.669414543525,11718.824673065235,11120,11400
11447.60334726517,11834.461578812588,10467,11133
11524.727749640111,11936.887010037992,12100,12650
10661.76422418228,11047.044798404371,10500,10500
10669.098388872044,11005.142902586416,10750,11250
