predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18417.17,19158.443,23500,29900
14188.526,14759.954,14500,14500
14295.963,14871.58,12950,14875
14203.743,14774.816,13000,13000
12844.739,13361.773,14250,13850
11821.458,12297.619,12800,15700
9148.801,9517.082,10650,10995
12110.2,12598.55,10500,12500
14583.467,15170.227,10500,10500
12118.134,12605.77,11500,11500
10553.676,10978.835,11150,11500
11349.3125,11806.4375,11500,12700
10707.449,11139.296,10250,10250
11125.694,11574.329,12250,13250
8914.619,9273.445,10000,10000
10947.66,11388.979,11000,13000
11389.891,11848.525,10500,10500
11349.546,11806.764,10750,10950
9477.253,9858.968,10000,11000
10765.725,11199.019,10380,10930
9954.023,10355.055,11120,11400
11379.658,11837.2,11300,12500
11760.501,12233.073,8350,9600
11268.08,11721.758,11300,11300
10325.334,10740.423,10800,12500
10617.614,11045.217,9500,10600
