predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19254.629,19765.1,21750,23187
21551.129,22125.732,23500,29900
15466.269,15878.073,15820,24500
14558.4375,14947.178,17890,18240
13953.664,14326.179,12500,14450
14481.155,14866.106,14350,14165
13452.605,13804.847,10500,11250
11765.479,12072.332,12800,15700
11927.159,12235.669,10500,12500
13248.046,13604.707,10500,10500
11860.892,12172.814,11250,11250
12425.105,12749.133,12495,12495
12606.66,12937.971,13000,14000
11481.708,11777.899,11000,12000
11059.792,11337.61,11500,11500
8512.093,8728.045,9250,9250
11176.746,11462.452,12100,12650
11204.444,11494.188,11200,13000
11442.048,11733.641,11300,11300
10503.375,10768.609,10800,12500
10175.866,10447.473,12000,14000
11369.991,11661.265,10500,10500
10565.32,10840.236,9500,11500
11775.932,12077.512,11400,13500
11728.443,12029.297,9495,9495
9698.665,9939.004,10250,10500
