predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
18564.79591836735,23080.826530612245,17040,15440
14277.714285714286,14945.857142857143,13200,13900
14360.30612244898,14870.510204081633,14660,15160
14548.775510204081,14621.785714285714,14200,14200
14151.224489795919,14448.724489795919,12680,12680
12450.418367346938,13070.19387755102,13800,15050
14330.102040816326,14839.030612244898,13300,13300
13352.530612244898,13922.826530612245,13020,13420
13985.234693877552,14102.520408163266,14000,13500
13731.275510204081,13890.459183673469,10500,10500
12070.459183673469,12604.540816326531,12495,12495
11052.142857142857,11972.091836734693,10800,10800
11507.367346938776,12181.102040816326,12000,12500
12135.051020408164,12560.663265306122,12500,12500
14091.418367346938,14580.163265306122,13000,14000
10669.132653061224,9677.5,12250,13250
14877.979591836734,15088.244897959185,15950,17250
11777.57142857143,12081.051020408164,10000,10000
11536.530612244898,12152.295918367347,11000,12000
11413.163265306122,11904.183673469388,13000,12750
11398.877551020409,11581.785714285714,10700,11400
10979.816326530612,11395.132653061224,11000,11000
10858.877551020409,11254.489795918367,9500,10600
11000.07142857143,11588.704081632653,10100,10300
10075.204081632653,10117.959183673469,10750,11250
11835.561224489797,12390.561224489797,12000,14000
