predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19956.1,20676.44,21750,23187
16468.65,19325.96,17040,15440
14291.2,15130.13,14300,15000
14361.26,15085.04,15200,14800
14052.8,14508.08,14660,15160
14083.4,14534.5,14140,14420
14474.7,15613.2,17890,18240
13875.8,14284.55,14200,14200
13589.21,14391.09,13000,13000
13843.31,14274.02,14350,14165
12005.51,12705.44,12163,12117
11829.45,12320.7,11870,12150
12454.87,13017.61,10500,11250
11606.55,12065.65,12400,12580
12943.25,13183.6,18630,16500
11351.04,11803.86,11450,11950
10835.75,11261.15,10700,11000
11506.5,12181.2,10900,11440
11205.26,11573.39,13000,12750
10822.1,11363.15,10467,11133
11590.55,12393.0,11200,13000
10670.25,11155.15,11000,11000
10978.26,11714.34,10500,10500
11373.97,11897.78,12660,12830
11535.75,12315.1,11400,13500
10465.0,10594.0,9495,9495
