predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13191.347993474168,13510.04577008935,16400,16400
11867.491260415623,12234.416249982502,8500,10000
14822.888438002912,15213.353704334662,14500,14500
13280.72141995027,13602.572530307601,17890,18240
12419.518056081793,12803.897549283476,13800,15050
12816.050522986496,13151.589771664396,13280,13430
12839.692916167694,13176.506091990046,14250,13850
13030.568044521686,13355.81806941997,12500,14450
12740.730668154347,13162.945541685649,10766,10689
11896.423707419415,12301.86506496208,12800,15700
12075.54913878906,12477.69218365397,10650,10995
11932.620792324582,12338.800113324587,12495,12495
11450.131570604352,11849.003070114204,10800,10800
11943.980297564598,12352.89799520486,11500,11500
11963.727266132168,12395.314666122582,11500,12700
12263.228268047258,12599.807224025968,18630,16500
11484.711916355382,11894.012392306124,12000,12500
11055.582779345961,11468.595430405254,12250,13250
11794.935618903291,12253.829650274323,11000,12000
11523.377006986868,11941.712336734821,10380,10930
12223.776601927284,12622.440476979846,17160,14140
12087.689290569453,12507.515738458349,13500,13500
11560.931324930043,11997.798792389585,11795,12000
11443.788108596156,11885.51343471231,10100,10300
10723.667199292524,11168.60192102604,10500,10500
11083.455050001869,11523.178499994356,10250,10500
