predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13994.56062169194,15148.29915988072,16400,16400
11684.611603921494,11500.725403662913,8500,10000
15652.491580740212,16503.309902291618,14500,14500
14614.509711389212,16359.164803547152,17890,18240
11820.83815528436,12096.245765977943,13800,15050
12386.81200431104,12191.069483868205,13280,13430
12781.387971387769,13463.582739649926,14250,13850
13012.72397491007,14075.452451632216,12500,14450
12370.774004323257,13233.786450360145,10766,10689
11653.83119019697,12243.030154544316,12800,15700
12639.60995527087,13812.233423501557,10650,10995
10552.923144583932,10409.188055015315,12495,12495
11373.179853178437,11092.047882210374,10800,10800
10387.05739993662,10470.437159065621,11500,11500
10736.546550092877,10736.692465794527,11500,12700
13319.055349465345,13606.878534222808,18630,16500
11175.988875411518,11788.923465342668,12000,12500
10940.523405854892,10636.872987178545,12250,13250
11433.080922098929,12302.034622382367,11000,12000
10871.776552815702,11324.974019667476,10380,10930
12308.240254898245,13950.198218572597,17160,14140
11961.725238608014,13014.732243423048,13500,13500
10059.764652445027,10162.078447159518,11795,12000
10131.142646758572,9762.438440217353,10100,10300
9554.119264612871,8587.749943238066,10500,10500
10118.532216535901,10676.219876202706,10250,10500
