predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15199.34794596841,15519.807401556784,21770,19888
15008.61011047954,15308.621222691188,23500,29900
13636.198041194984,13985.53733317558,15200,14800
13602.73280633532,13950.231533660777,14140,14420
13237.13962116849,13580.06474765058,14200,14200
12958.146870694833,13306.51887768693,12950,14875
13043.935644493944,13380.102854254954,12500,14450
12573.433730778981,12915.02803437689,10500,10500
12120.289791918754,12500.640574998166,11250,11250
11563.094618067102,11921.19470037131,10800,10800
12418.556059661274,12767.668575318417,12710,12710
11420.220581358897,11766.28175991731,12000,12500
11309.711388391175,11664.18275775418,11000,13000
11750.628680367876,12117.031466985345,10500,10500
11619.863999640562,11973.275804916586,10380,10930
11673.340887154007,12040.639981212633,13000,12750
11477.293852034229,11842.910906983023,10467,11133
12137.902506204224,12483.039581384726,13500,13500
11700.138866874373,12064.08308486033,11250,12000
11405.534130456641,11707.819815986812,10000,6000
11671.314336558487,11968.881968243146,9250,9250
11695.644636779694,12063.636537891354,11200,13000
11322.042789719393,11685.999241788973,11300,11300
11478.184554503498,11827.278048814365,10800,12500
12228.449986421538,12565.088895746114,12000,14000
10899.444563626992,11259.872870989668,10500,10500
