predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
17553.26530612245,20126.622448979593,23500,29900
15205.204081632653,16242.602040816326,14500,14500
13891.224489795919,14430.561224489797,12950,14875
14179.387755102041,14556.530612244898,13000,13000
13403.367346938776,13737.908163265307,14250,13850
11488.040816326531,11923.69387755102,12800,15700
11484.510204081633,12006.102040816326,10650,10995
11119.326530612245,11585.469387755102,10500,12500
13526.734693877552,13172.091836734693,10500,10500
12179.867346938776,12540.336734693878,11500,11500
11729.602040816326,11958.612244897959,11150,11500
11724.959183673469,11963.84693877551,11500,12700
11416.734693877552,11692.34693877551,10250,10250
11614.102040816326,10862.938775510203,12250,13250
11680.714285714286,11937.142857142857,10000,10000
10998.07142857143,11231.316326530612,11000,13000
11611.459183673469,11982.877551020409,10500,10500
10757.551020408164,11275.714285714286,10750,10950
10601.224489795919,9956.173469387755,10000,11000
10810.010204081633,11393.357142857143,10380,10930
10905.520408163266,11324.173469387755,11120,11400
11347.979591836734,11984.520408163266,11300,12500
11113.336734693878,11635.081632653062,8350,9600
11406.285714285714,11525.857142857143,11300,11300
10719.530612244898,11301.744897959185,10800,12500
10669.591836734693,10924.183673469388,9500,10600
