predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
22959.389,23612.621,15660,17250
15059.657,15488.977,13500,14000
15227.371,15660.736,15200,14800
16064.034,16520.791,14500,14500
17109.762,17597.125,14500,14500
17837.836,18345.697,15850,16500
13900.274,14294.307,13020,13420
13376.663,13759.386,13280,13430
12956.045,13325.541,14250,13850
12659.096,13020.355,11275,11900
12742.057,13103.2705,12890,12890
12236.026,12586.284,11250,11250
11082.127,11401.787,11150,11500
11569.018,11902.165,11500,12700
12090.347,12436.891,12000,12500
13334.609,13710.399,13000,14000
11308.927,11633.219,10500,10500
11483.287,11811.364,11000,12000
11297.21,11620.888,13500,14500
9082.502,9341.297,10000,6000
10462.934,10759.821,10800,12500
11396.763,11718.962,12000,14000
11491.607,11821.856,10500,10500
10676.432,10980.401,12660,12830
10562.092,10864.803,11250,11250
9796.0205,10074.217,9250,9250
