predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15352.0,15973.18,15820,24500
14763.3,15413.45,13860,14850
14489.5,14994.28,15200,14800
14944.2,15410.25,14500,14500
14433.7,14688.55,13200,13900
14162.7,14725.45,12680,12680
14661.9,15463.9,13650,13950
12311.02,13010.68,10766,10689
12132.88,12549.92,11500,11500
10914.72,11414.63,10800,10800
10950.88,11696.07,12000,12500
11584.07,12114.48,11150,11500
11643.87,12463.23,12400,12580
11398.66,11963.44,11450,11950
11533.9,12340.05,10850,11700
11086.93,11311.92,11000,13000
11418.77,12310.03,10500,10500
11279.24,11874.06,13000,12750
10698.93,11246.12,10700,11400
10261.55,10457.3,10000,6000
10691.25,11056.5,12100,12650
11279.03,12158.62,11300,12500
11114.22,11905.88,8350,9600
11430.04,11724.76,11300,11300
10299.87,10522.28,9500,10600
10932.79,11451.91,10700,10700
