predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13606.729035557577,14161.816194377923,14940,14200
15347.546739530966,15994.90493121732,15660,17250
13015.132869238529,13495.205362956776,12950,14875
12071.027278957057,12530.378136029582,11870,12150
12577.588803288942,13065.857365886379,12500,13500
13571.252176997365,14110.238183059093,13650,13950
12052.253281963933,12493.312957545826,12800,15700
12177.33568001692,12669.611690819298,10650,10995
11986.070791463582,12402.519775670387,10500,12500
12891.226805239889,13403.844727495387,12890,12890
12629.731044174969,13108.33675318456,10500,10500
11675.496553727728,12093.230566695484,10800,10800
12095.587816533678,12527.54100743997,11500,12700
11508.932724898405,11955.222907750589,12000,12500
12788.333643920882,13341.865014410707,13000,14000
11828.569375912592,12303.246464577138,10000,10000
11927.937433879615,12377.878723407439,11000,12000
11753.59570670506,12191.154616276543,10900,11440
11796.96472491183,12257.389109614798,11300,12500
11324.929666123535,11753.744474059567,11000,11000
11614.044101080297,12066.071655537273,10100,10300
10822.192379822149,11326.27231795706,10500,10500
11463.657852038295,11892.314796904531,10500,10500
11321.105420635975,11747.69498506374,10700,11700
10622.264733245585,11057.739745927012,9495,9495
11359.650736964142,11858.689277381407,9250,9250
