predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14969.019817550168,15594.863615240005,14900,18000
14488.521425109986,15443.177481895218,13500,14000
18316.68271306534,18489.109897558475,14500,14500
14791.224899532152,15153.74020632404,13200,13900
16567.09683930264,15930.499196646047,13000,13000
14164.803603078304,15853.726822432363,14000,14000
13657.021042535267,14215.651673927545,12500,14450
13712.043741461159,14899.351068246915,14000,13500
13151.648420416153,14051.692419089559,10766,10689
11670.568531068939,11585.735490765634,10800,10800
11604.375566907243,12336.926965311646,11150,11500
11319.103768517627,11720.39612766982,12500,13000
10829.599881184204,11548.750089886367,10250,10250
14456.848273317386,16222.9718078556,13000,14000
12065.835967508963,12290.762757950226,11750,12200
15269.785469666487,17182.80233749372,15950,17250
11132.829117757225,11593.593495013527,10000,11500
10173.699968510859,10846.460948397573,11120,11400
10393.68327220896,10771.54815222052,10467,11133
12069.364428971883,12860.918489778796,13500,13500
11495.560720336927,12149.74002315149,11250,12000
9585.742861103514,9979.886603486077,10500,10500
12847.388265744381,13190.54107600431,12000,14000
11005.598857578638,11799.335270776328,12660,12830
9169.094692165494,8615.994427281146,11250,11250
10655.563921673622,11464.233293182268,10700,11700
