predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20516.9,22115.6,21750,23187
15397.35,17218.43,14900,18000
15625.9,18645.9,14940,14200
19660.2,24062.71,15660,17250
14267.1,14978.23,15200,14800
14238.0,14652.83,14660,15160
13609.7,13946.25,12950,14875
14368.0,15090.4,14500,14500
11949.77,12662.68,12163,12117
12185.45,12481.0,12500,12500
12745.8,13194.3,10500,11250
14615.68,15183.95,13650,13950
12728.95,13176.05,10500,10500
11824.11,12435.59,11250,11250
10623.53,11312.77,12000,12500
12469.35,13179.15,12710,12710
10506.52,11034.98,12000,12500
14067.53,14718.67,13000,14000
13274.85,13020.65,12250,13250
11004.47,11352.38,10380,10930
11066.98,11710.57,10900,11440
10870.21,11657.14,11120,11400
10360.2,10818.85,10000,6000
10807.4,11039.0,9250,9250
11197.89,11711.01,11795,12000
10427.8,10876.9,9500,10600
