predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15141.68310673612,15541.211793549006,21770,19888
13940.404601743105,14286.19744728175,17040,15440
13596.715584539521,13964.367310827305,15200,14800
13559.871698257839,13934.326354388118,14140,14420
13230.630090814695,13583.65055999019,17890,18240
12926.710714709732,13260.41712603318,12950,14875
14518.064404567996,14957.047697256268,15600,17040
13355.826593787853,13723.220344646654,14450,14450
11858.03362077973,12190.48726876298,10500,12500
11897.99777911595,12257.149732463697,12000,12500
11402.642826648158,11732.340978335527,12000,12500
11890.282150958063,12261.38584728919,11450,11950
11753.43746641561,12106.494346773005,10000,11500
11536.901640629103,11885.039936794337,10750,10950
11810.531934602483,12192.083205874225,11000,12000
11364.520107715412,11715.939814199968,11120,11400
12102.600558021277,12466.256315802424,13500,13500
11359.01313762218,11688.068219721776,10000,6000
11620.557738335783,11943.816554196315,9250,9250
11676.84188339869,12059.480599987015,11200,13000
11238.70716596616,11587.382754215445,11000,11000
10731.699401700138,11067.490587998325,10750,11250
11160.6057000206,11519.337774712774,11000,9500
11349.951208859538,11718.173983050843,10500,10500
11824.2881166152,12199.25463413261,12660,12830
11303.318250646504,11647.8412531219,9250,9250
