predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14414.387,14759.361,14940,14200
19432.541,19898.646,15660,17250
13681.168,14008.908,12950,14875
10311.047,10556.989,11870,12150
12493.63,12792.115,12500,13500
14171.439,14511.027,13650,13950
11090.641,11355.251,12800,15700
9101.637,9318.43,10650,10995
11757.428,12038.577,10500,12500
12474.036,12772.094,12890,12890
14489.505,14836.419,10500,10500
11419.404,11692.125,10800,10800
11217.461,11485.161,11500,12700
10844.694,11103.45,12000,12500
12563.835,12863.467,13000,14000
9594.637,9823.669,10000,10000
11254.281,11522.79,11000,12000
10705.098,10960.842,10900,11440
11308.911,11578.5205,11300,12500
11990.213,12276.297,11000,11000
10729.521,10985.18,10100,10300
11960.034,12245.8545,10500,10500
11890.172,12173.947,10500,10500
11488.529,11763.205,10700,11700
12272.061,12565.382,9495,9495
10919.647,11180.601,9250,9250
