predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19196.723,20136.752,21750,23187
14481.512,15186.2295,14900,18000
15448.686,16203.345,14500,14500
15838.1875,16611.277,13850,16200
14497.831,15206.853,15600,17040
12521.082,13126.669,13800,15050
13904.964,14580.888,13300,13300
13342.001,13990.412,13280,13430
12109.902,12696.151,11275,11900
15293.848,16040.111,13650,13950
9714.491,10182.208,10650,10995
11329.156,11875.556,12495,12495
11134.672,11671.904,11500,11500
11028.21,11558.41,12000,12500
10569.207,11078.019,10250,10250
9208.216,9651.795,10000,10000
10208.682,10700.438,10700,11000
10490.277,10995.969,10750,10950
11609.674,12171.123,17160,14140
9960.381,10440.182,11120,11400
8343.946,8746.057,9250,9250
10197.383,10688.385,12100,12650
10991.5205,11522.479,8350,9600
10460.08,10964.061,10000,10000
10784.621,11305.538,11400,13500
10576.097,11086.956,10700,11700
