predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20782.85,22350.605,21770,19888
18325.621,19708.559,23500,29900
14752.628,15865.573,15200,14800
14226.233,15299.73,14140,14420
14702.872,15812.541,14200,14200
14792.283,15908.238,12950,14875
14037.985,15097.689,12500,14450
14531.303,15627.0205,10500,10500
12331.042,13260.077,11250,11250
11563.073,12431.559,10800,10800
12446.325,13384.284,12710,12710
11167.743,12005.694,12000,12500
11178.055,12017.015,11000,13000
11247.968,12094.221,10500,10500
10540.382,11332.677,10380,10930
11618.328,12492.344,13000,12750
11377.337,12232.404,10467,11133
11833.902,12725.47,13500,13500
11651.884,12528.783,11250,12000
9604.262,10323.054,10000,6000
9284.295,9979.758,9250,9250
11512.498,12379.254,11200,13000
10663.413,11464.649,11300,11300
9985.066,10735.375,10800,12500
11729.049,12612.438,12000,14000
10723.59,11527.681,10500,10500
