predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15364.5,18423.37,14940,14200
18863.2,22606.49,15660,17250
14841.1,15166.7,14500,14500
14023.9,14379.65,12680,12680
14011.68,14696.52,13800,15050
12599.91,13115.34,10500,11250
12108.08,12741.82,13500,13500
13621.5,13960.5,12890,12890
11045.25,10360.75,12500,13000
11312.18,12000.92,11500,12700
11939.7,12464.25,11750,12200
13545.45,12311.45,12250,13250
12875.2,13289.25,12300,12300
11680.44,12193.26,11000,11000
10991.25,11086.9,10000,10000
11580.6,11417.15,11000,13000
13488.53,14098.07,13500,13500
11003.02,11745.83,11250,12000
10489.07,10270.23,9250,9250
10551.22,10934.63,9500,10600
10795.4,11267.1,10100,10300
11717.29,12239.66,12000,14000
10930.19,11027.51,10500,10500
11487.55,11862.1,12660,12830
10877.12,11660.33,10000,10000
11097.47,11343.73,11400,13500
