predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19992.0,19776.0,21770,19888
14296.0,14400.0,14900,18000
15296.0,16576.0,15500,15500
16104.0,16576.0,15200,14800
8080.0,6592.0,8500,10000
14456.0,14336.0,13200,13900
15192.0,14912.0,14140,14420
15296.0,15872.0,14500,14500
15968.0,16640.0,13850,16200
16088.0,17472.0,15600,17040
15704.0,16704.0,14450,14450
10632.0,10368.0,12800,15700
9864.0,9088.0,11500,11500
10896.0,11648.0,12000,12500
12888.0,14592.0,12000,12500
13712.0,15104.0,13000,14000
12624.0,13056.0,12300,12300
16744.0,18304.0,15950,17250
9568.0,8704.0,11000,13000
10920.0,11200.0,11000,12000
10360.0,10432.0,10000,11000
11232.0,12224.0,11300,12500
11456.0,12096.0,11200,13000
10120.0,10944.0,11000,11000
12400.0,11648.0,11300,11300
10568.0,9792.0,10500,10500
