predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13401.353079013521,13811.942611545179,21750,23187
12360.783427495066,12846.233795091171,16400,16400
12388.19762750663,12878.350558796992,14300,15000
12633.582544045952,13098.91744166801,13500,14000
12433.485226772356,12916.290652350777,14200,14200
12604.598229588666,13072.048570605979,14500,14500
12505.09048376583,12948.541671393117,13000,13000
12608.530103660096,13072.37111319464,13850,16200
12205.521079310718,12683.582188938657,13020,13420
12183.983832950933,12684.42663090269,11150,11500
11806.91589243896,12330.026243031436,12000,12500
12025.743868351228,12529.137537983032,11000,11000
11973.66466144641,12472.248734278961,10000,10000
11810.540383244863,12329.82784749701,11000,13000
11922.619939744842,12427.818708469104,10750,10950
12048.071330060935,12563.840501938017,11000,12000
11766.547237642206,12291.711330946739,10000,11000
11861.686385585734,12371.858199126764,10000,6000
11849.107451812853,12361.863294899573,12100,12650
11994.79573585017,12513.468012515037,11200,13000
11813.086568547285,12320.809071766598,11000,11000
11879.737347523254,12396.231248930486,11300,11300
11885.26122152467,12408.752245540516,11000,9500
12059.579281704488,12578.859168721385,12660,12830
12026.543235130659,12547.187024297189,11400,13500
11943.166316129464,12463.056155190912,9250,9250
