predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19675.809,20770.834,17040,15440
14508.18,15315.194,13200,13900
14282.707,15078.394,14660,15160
14250.731,15044.03,14200,14200
13424.294,14172.241,12680,12680
12571.063,13269.431,13800,15050
13823.25,14591.858,13300,13300
14135.179,14920.927,13020,13420
12936.62,13655.791,14000,13500
14487.487,15292.511,10500,10500
11433.249,12067.63,12495,12495
10844.357,11444.873,10800,10800
10650.083,11239.79,12000,12500
12555.061,13252.401,12500,12500
11749.907,12401.539,13000,14000
10455.194,11032.451,12250,13250
15011.074,15845.05,15950,17250
8959.229,9454.155,10000,10000
10265.741,10834.231,11000,12000
10895.228,11498.537,13000,12750
11922.011,12582.755,10700,11400
10523.776,11105.43,11000,11000
9783.458,10323.475,9500,10600
9499.619,10024.412,10100,10300
10441.18,11017.752,10750,11250
10467.953,11047.58,12000,14000
