predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14093.844,14728.001,16400,16400
12793.0625,13363.142,8500,10000
14699.595,15364.037,14500,14500
14624.279,15283.664,17890,18240
13008.107,13589.869,13800,15050
13134.278,13725.028,13280,13430
13194.021,13786.974,14250,13850
14740.367,15403.294,12500,14450
13877.952,14497.595,10766,10689
11981.865,12514.047,12800,15700
11039.7,11530.673,10650,10995
12081.383,12618.92,12495,12495
12186.127,12728.378,10800,10800
11984.883,12518.213,11500,11500
12162.222,12702.022,11500,12700
13120.478,13708.913,18630,16500
12588.308,13146.379,12000,12500
12175.692,12715.245,12250,13250
12373.3955,12922.399,11000,12000
11099.254,11592.593,10380,10930
14190.543,14825.842,17160,14140
12819.128,13391.435,13500,13500
11948.713,12478.405,11795,12000
11383.198,11886.347,10100,10300
11355.197,11858.613,10500,10500
10679.429,11152.972,10250,10500
