predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13508.551725334362,15371.36821551727,16400,16400
16480.299577644513,19961.58281009236,14940,14200
14318.588656609938,14417.890378443593,14500,14500
14627.484755047191,15183.141880240919,14140,14420
14802.16936555275,16650.695836155646,14200,14200
14517.0610629437,14958.746686323837,13300,13300
14639.16016679289,14456.718944627408,13280,13430
16191.533787458098,16683.039483541525,14450,14450
11163.038105601576,11970.4545932782,12163,12117
11985.277380138981,12319.317081311186,12500,12500
13377.373343905836,16777.038769016755,16880,16880
12498.3249252912,15751.81100752339,13500,13500
8769.216446078959,11646.439812721754,10766,10689
12405.087931339021,14750.952250314478,10650,10995
11456.77974238307,11678.188044861272,12400,12580
11313.867182053527,14067.240838761796,12710,12710
13568.64895640848,15720.145050292878,13000,14000
11741.36148136561,11028.559675903056,12250,13250
9524.203628427145,9893.788975217118,10000,11500
11667.180126484529,12438.766222267035,10500,10500
10812.671016794495,10494.525482462965,10900,11440
11223.787764053548,11093.923011078778,13500,14500
9972.51094282713,12178.004223154836,10000,6000
9971.659139338493,10703.583503685772,9250,9250
11339.273167773337,10858.484501844716,12100,12650
15804.851607762408,15168.120503905137,11400,13500
