predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19397.54,20313.498,21770,19888
14146.882,14802.093,14900,18000
14252.656,14920.603,15500,15500
14984.295,15689.574,15200,14800
11567.405,12034.328,8500,10000
13995.592,14647.613,13200,13900
14604.418,15291.74,14140,14420
14875.546,15576.028,14500,14500
15848.684,16595.578,13850,16200
15419.081,16146.584,15600,17040
14684.308,15375.084,14450,14450
11115.709,11583.5625,12800,15700
11749.305,12253.489,11500,11500
10503.257,10933.2295,12000,12500
10896.667,11342.317,12000,12500
12932.144,13522.774,13000,14000
12353.813,12891.31,12300,12300
16302.949,17070.91,15950,17250
10774.682,11211.746,11000,13000
11412.278,11896.018,11000,12000
10388.438,10818.445,10000,11000
10711.558,11161.814,11300,12500
11274.583,11753.6455,11200,13000
10243.276,10653.609,11000,11000
10945.981,11400.995,11300,11300
10999.778,11454.36,10500,10500
