predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14976.154,15959.182,14940,14200
20314.979,21650.268,15660,17250
14268.969,15206.48,13500,14000
14590.103,15548.667,15200,14800
14433.918,15381.998,14660,15160
12461.743,13278.731,13800,15050
13450.177,14332.515,13300,13300
11718.446,12485.67,10766,10689
10986.142,11705.016,12800,15700
10926.011,11641.47,10500,12500
12792.614,13631.259,12890,12890
13708.246,14606.976,10500,10500
11021.74,11742.994,10800,10800
11008.933,11729.272,11500,12700
10806.66,11513.485,10250,10250
10724.292,11425.471,12000,12500
11492.577,12244.448,11750,12200
10781.547,11486.69,11450,11950
15648.615,16675.088,15950,17250
11002.334,11721.537,10850,11700
11551.6045,12306.687,17160,14140
10421.566,11102.864,11120,11400
10946.954,11662.118,10467,11133
10659.258,11355.418,12100,12650
10955.496,11670.509,10500,10500
10873.989,11584.293,10750,11250
