predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15447.039,16192.606,15820,24500
14187.574,14873.282,13500,14000
14152.927,14837.831,17890,18240
14594.424,15298.986,14500,14500
13300.347,13944.475,12500,14450
14365.392,15058.25,14450,14450
11003.583,11552.481,12163,12117
12082.835,12675.36,11275,11900
12462.034,13071.708,13500,13500
11505.631,12079.361,12495,12495
10376.008,10896.535,11500,12700
11393.249,11952.045,12710,12710
10652.354,11186.787,10250,10250
10737.653,11271.819,10700,11000
11050.798,11605.174,10850,11700
11099.205,11655.487,11000,12000
10364.261,10876.161,10000,11000
10199.17,10700.658,10000,6000
9513.685,9979.804,9250,9250
11512.5625,12084.416,10500,10500
11301.294,11868.799,10750,11250
10633.735,11168.027,11000,9500
10808.869,11354.662,10500,10500
10586.456,11117.0,10000,10000
11095.65,11653.523,9495,9495
10510.119,11033.42,10250,10500
