predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15297.975996284464,15741.503246084207,21750,23187
13213.286946460845,13630.482023354169,14900,18000
13851.953823790564,14310.11815488162,14500,14500
13698.520155438726,14158.211680092387,13850,16200
14521.921218874682,15022.599757817465,15600,17040
12399.808879717304,12841.200641815647,13800,15050
13000.888988505558,13428.111645968274,13300,13300
12834.592918314687,13224.52182740958,13280,13430
12487.942855907324,12878.85623275215,11275,11900
13487.640041991615,13935.264486688176,13650,13950
12084.327874711242,12519.1038937805,10650,10995
11950.597331419682,12369.498751431911,12495,12495
11960.25248981015,12383.491543605323,11500,11500
11542.706711699278,11955.030699292198,12000,12500
11432.10173397181,11815.097137140086,10250,10250
11791.463935180409,12149.507283190365,10000,10000
11586.366458872206,12009.335168196872,10700,11000
11524.736622328928,11926.48245205698,10750,10950
12163.141211903241,12676.094234561842,17160,14140
11367.708505498551,11765.33222946062,11120,11400
11686.264418287237,12033.378818050543,9250,9250
11521.985891190467,11942.809610489025,12100,12650
11538.352257752244,12015.003329863426,8350,9600
11458.371784458093,11888.399038993968,10000,10000
11203.723860320473,11618.000513893881,11400,13500
11179.943872899103,11586.078023155642,10700,11700
