predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
14401.051020408164,15395.102040816326,16400,16400
11543.295918367347,11819.969387755102,8500,10000
15185.204081632653,16259.285714285714,14500,14500
14151.122448979591,14363.316326530612,17890,18240
12534.19387755102,12945.040816326531,13800,15050
13320.714285714286,14037.5,13280,13430
12827.234693877552,13071.84693877551,14250,13850
13410.295918367347,13607.102040816326,12500,14450
12255.091836734693,12774.448979591836,10766,10689
11225.173469387755,11788.755102040815,12800,15700
11189.387755102041,11857.040816326531,10650,10995
11984.061224489797,12485.989795918367,12495,12495
10940.255102040815,11986.224489795919,10800,10800
11553.663265306122,11934.19387755102,11500,11500
11530.173469387755,11946.663265306122,11500,12700
11929.0,12452.224489795919,18630,16500
11196.418367346938,11629.19387755102,12000,12500
10611.142857142857,9561.204081632653,12250,13250
11672.408163265307,12252.69387755102,11000,12000
10719.663265306122,11421.765306122448,10380,10930
11651.122448979591,12160.0,17160,14140
11827.755102040815,12552.959183673469,13500,13500
11345.836734693878,12090.132653061224,11795,12000
10647.520408163266,11493.19387755102,10100,10300
10927.520408163266,11154.724489795919,10500,10500
10449.591836734693,11025.204081632653,10250,10500
