predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
15229.897959183674,18190.102040816328,14940,14200
19877.14285714286,23108.714285714286,15660,17250
14061.836734693878,14443.724489795919,12950,14875
11180.183673469388,11818.438775510203,11870,12150
12117.5,12368.163265306122,12500,13500
14527.92857142857,15332.734693877552,13650,13950
11445.867346938776,11801.581632653062,12800,15700
11292.163265306122,11849.622448979591,10650,10995
10879.224489795919,11455.57142857143,10500,12500
13450.551020408164,13924.80612244898,12890,12890
13850.510204081633,13668.367346938776,10500,10500
11114.438775510203,12177.959183673469,10800,10800
11225.887755102041,11655.897959183674,11500,12700
10824.15306122449,11336.561224489797,12000,12500
13973.897959183674,14649.418367346938,13000,14000
11114.081632653062,11740.102040816326,10000,10000
11575.887755102041,12123.19387755102,11000,12000
11228.438775510203,11578.19387755102,10900,11440
11589.30612244898,12321.663265306122,11300,12500
11059.530612244898,11630.57142857143,11000,11000
11375.091836734693,11957.765306122448,10100,10300
10683.673469387755,9918.979591836734,10500,10500
11363.163265306122,12104.489795918367,10500,10500
11092.448979591836,11575.714285714286,10700,11700
10559.357142857143,10707.479591836734,9495,9495
11763.57142857143,11011.122448979591,9250,9250
