predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19360.4,19127.04,21750,23187
16549.56,18201.53,23500,29900
14688.52,14991.56,15820,24500
14593.46,14953.01,17890,18240
13343.44,13441.51,12500,14450
13852.3,14196.38,14350,14165
12584.0,12920.55,10500,11250
11207.05,11538.95,12800,15700
10867.49,11267.06,10500,12500
13143.01,13124.49,10500,10500
11995.37,12396.68,11250,11250
11667.44,12082.01,12495,12495
13628.12,14110.26,13000,14000
11541.07,11820.38,11000,12000
11279.97,11521.38,11500,11500
10844.5,10801.0,9250,9250
10825.87,11018.28,12100,12650
11876.17,12251.93,11200,13000
11419.47,11698.23,11300,11300
10593.1,10941.35,10800,12500
11927.33,11918.67,12000,14000
11314.14,11596.76,10500,10500
11125.73,11587.67,9500,11500
11398.35,11842.9,11400,13500
10345.17,9998.33,9495,9495
10710.08,10918.67,10250,10500
