predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
13942.196930772447,14352.476642246027,17040,15440
13113.371503770868,13548.842768332657,13200,13900
13503.0826876646,13919.553514698096,14660,15160
13171.137740218452,13592.257907103918,14200,14200
13522.406331962402,13948.281331615899,12680,12680
12348.162167629305,12803.710879580845,13800,15050
12956.635615014766,13388.100234675043,13300,13300
12735.313877568551,13162.417766652865,13020,13420
12715.891730002013,13183.267522514923,14000,13500
12492.942807092548,12915.512059819781,10500,10500
11899.312782039864,12354.687936713757,12495,12495
11458.64525554349,11879.473359496129,10800,10800
11788.584361317166,12253.552236061127,12000,12500
12413.60871302371,12842.240640538257,12500,12500
12605.236682376104,13119.33488776296,13000,14000
11033.113517220378,11443.445650328173,12250,13250
13051.29030069592,13541.174512628504,15950,17250
11663.52882116133,12064.01586553183,10000,10000
11696.674875235763,12195.645846094281,11000,12000
11559.539283081136,12026.850278845992,13000,12750
11700.915024430535,12126.627021747254,10700,11400
11094.97346390947,11551.57274221971,11000,11000
10881.392981456615,11337.330623683662,9500,10600
11395.354917110455,11876.75031201411,10100,10300
10568.44006370873,11008.465830021833,10750,11250
12114.385221318382,12579.706383467588,12000,14000
