predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
19695.1,22620.41,21770,19888
17629.0,20435.94,17040,15440
17666.6,20506.89,17040,24500
19106.36,22852.19,15660,17250
14543.5,15096.65,14500,14500
13643.3,14557.15,13000,13000
13787.8,14413.15,13300,13300
13855.63,14375.27,14000,14000
11614.34,12132.76,11250,11250
11109.7,10966.95,12500,13000
12720.55,13150.85,18630,16500
10464.73,10951.37,12000,12500
11433.5,11411.55,12250,13250
12626.35,13110.9,12300,12300
11754.69,12190.46,11000,11000
14457.26,15721.04,15950,17250
10671.44,10988.76,10000,10000
10819.5,11089.75,11000,13000
12730.6,13493.85,17160,14140
12107.2,12612.3,11200,13000
10960.02,11557.03,8350,9600
11415.02,11712.58,11300,11300
11107.67,11713.48,11795,12000
10672.42,11130.58,10800,12500
11059.43,11388.72,11000,9500
10632.4,10514.9,9250,9250
