predicted UG_average_fees_(in_pounds),predicted PG_average_fees_(in_pounds),truth UG_average_fees_(in_pounds),truth PG_average_fees_(in_pounds)
20548.01539699272,19756.539123470146,21750,23187
14468.670294854117,14867.93205028853,14900,18000
17134.587099697594,16475.213718550327,14500,14500
15034.83914057869,16228.841546164664,13850,16200
16507.207807118695,17710.19214135702,15600,17040
11469.946709591119,11960.209025103972,13800,15050
13763.640795627522,15017.718510769364,13300,13300
12662.439448150611,12402.984111343354,13280,13430
12756.317936074465,13195.68713752793,11275,11900
16006.141139436357,17787.067294126056,13650,13950
12277.116244269677,13844.706450838954,10650,10995
10326.729284944135,10428.940845357598,12495,12495
10171.559515590938,10466.669193816693,11500,11500
11441.159292739032,12103.831653913321,12000,12500
11494.622838615576,11959.989083369792,10250,10250
11671.916212749555,11217.771500905817,10000,10000
10885.145942906314,11705.123635577458,10700,11000
10582.397947339163,10975.317240697497,10750,10950
11753.617474255421,13790.306206758156,17160,14140
10916.628618296903,11636.4420902438,11120,11400
11146.938121929144,11255.75895317058,9250,9250
11445.293606392182,11270.303892406113,12100,12650
11403.213137188057,12756.903140439283,8350,9600
10751.087608208201,11372.240252684682,10000,10000
12820.436831243162,12855.538534522624,11400,13500
11697.506263012925,12209.774223417991,10700,11700
